sehir_adi,analiz_baslangic_tarih,analiz_baslangic_saat,analiz_bitis_tarih,analiz_bitis_saat,sonuc
Adana,01-01-2024,00:00,07-01-2024,23:59,0.22
Adıyaman,01-01-2024,00:00,07-01-2024,23:59,0.15
Afyonkarahisar,01-01-2024,00:00,07-01-2024,23:59,0.15
Ağrı,01-01-2024,00:00,07-01-2024,23:59,0.14
Amasya,01-01-2024,00:00,07-01-2024,23:59,0.12
Ankara,01-01-2024,00:00,07-01-2024,23:59,0.21
Antalya,01-01-2024,00:00,07-01-2024,23:59,0.2
Artvin,01-01-2024,00:00,07-01-2024,23:59,0.19
Aydın,01-01-2024,00:00,07-01-2024,23:59,0.23
Balıkesir,01-01-2024,00:00,07-01-2024,23:59,0.15
Bilecik,01-01-2024,00:00,07-01-2024,23:59,0.14
Bingöl,01-01-2024,00:00,07-01-2024,23:59,0.12
Bitlis,01-01-2024,00:00,07-01-2024,23:59,0.17
Bolu,01-01-2024,00:00,07-01-2024,23:59,0.17
Burdur,01-01-2024,00:00,07-01-2024,23:59,0.11
Bursa,01-01-2024,00:00,07-01-2024,23:59,0.32
Çanakkale,01-01-2024,00:00,07-01-2024,23:59,0.14
Çankırı,01-01-2024,00:00,07-01-2024,23:59,0.11
Çorum,01-01-2024,00:00,07-01-2024,23:59,0.11
Denizli,01-01-2024,00:00,07-01-2024,23:59,0.22
Diyarbakır,01-01-2024,00:00,07-01-2024,23:59,0.16
Edirne,01-01-2024,00:00,07-01-2024,23:59,0.18
Elazığ,01-01-2024,00:00,07-01-2024,23:59,0.14
Erzincan,01-01-2024,00:00,07-01-2024,23:59,0.14
Erzurum,01-01-2024,00:00,07-01-2024,23:59,0.16
Eskişehir,01-01-2024,00:00,07-01-2024,23:59,0.17
Gaziantep,01-01-2024,00:00,07-01-2024,23:59,0.2
Giresun,01-01-2024,00:00,07-01-2024,23:59,0.16
Gümüşhane,01-01-2024,00:00,07-01-2024,23:59,0.1
Hakkari,01-01-2024,00:00,07-01-2024,23:59,0.14
Hatay,01-01-2024,00:00,07-01-2024,23:59,0.23
Isparta,01-01-2024,00:00,07-01-2024,23:59,0.17
Mersin,01-01-2024,00:00,07-01-2024,23:59,0.23
İstanbul,01-01-2024,00:00,07-01-2024,23:59,0.39
İzmir,01-01-2024,00:00,07-01-2024,23:59,0.31
Kars,01-01-2024,00:00,07-01-2024,23:59,0.12
Kastamonu,01-01-2024,00:00,07-01-2024,23:59,0.12
Kayseri,01-01-2024,00:00,07-01-2024,23:59,0.15
Kırklareli,01-01-2024,00:00,07-01-2024,23:59,0.11
Kırşehir,01-01-2024,00:00,07-01-2024,23:59,0.13
Kocaeli,01-01-2024,00:00,07-01-2024,23:59,0.24
Konya,01-01-2024,00:00,07-01-2024,23:59,0.14
Kütahya,01-01-2024,00:00,07-01-2024,23:59,0.1
Malatya,01-01-2024,00:00,07-01-2024,23:59,0.16
Manisa,01-01-2024,00:00,07-01-2024,23:59,0.21
Kahramanmaraş,01-01-2024,00:00,07-01-2024,23:59,0.17
Mardin,01-01-2024,00:00,07-01-2024,23:59,0.18
Muğla,01-01-2024,00:00,07-01-2024,23:59,0.15
Muş,01-01-2024,00:00,07-01-2024,23:59,0.16
Nevşehir,01-01-2024,00:00,07-01-2024,23:59,0.15
Niğde,01-01-2024,00:00,07-01-2024,23:59,0.12
Ordu,01-01-2024,00:00,07-01-2024,23:59,0.22
Rize,01-01-2024,00:00,07-01-2024,23:59,0.13
Sakarya,01-01-2024,00:00,07-01-2024,23:59,0.2
Samsun,01-01-2024,00:00,07-01-2024,23:59,0.25
Siirt,01-01-2024,00:00,07-01-2024,23:59,0.21
Sinop,01-01-2024,00:00,07-01-2024,23:59,0.12
Sivas,01-01-2024,00:00,07-01-2024,23:59,0.11
Tekirdağ,01-01-2024,00:00,07-01-2024,23:59,0.12
Tokat,01-01-2024,00:00,07-01-2024,23:59,0.13
Trabzon,01-01-2024,00:00,07-01-2024,23:59,0.19
Tunceli,01-01-2024,00:00,07-01-2024,23:59,0.16
Şanlıurfa,01-01-2024,00:00,07-01-2024,23:59,0.16
Uşak,01-01-2024,00:00,07-01-2024,23:59,0.16
Van,01-01-2024,00:00,07-01-2024,23:59,0.19
Yozgat,01-01-2024,00:00,07-01-2024,23:59,0.06
Zonguldak,01-01-2024,00:00,07-01-2024,23:59,0.18
Aksaray,01-01-2024,00:00,07-01-2024,23:59,0.12
Bayburt,01-01-2024,00:00,07-01-2024,23:59,0.08
Karaman,01-01-2024,00:00,07-01-2024,23:59,0.11
Kırıkkale,01-01-2024,00:00,07-01-2024,23:59,0.2
Batman,01-01-2024,00:00,07-01-2024,23:59,0.19
Şırnak,01-01-2024,00:00,07-01-2024,23:59,0.17
Bartın,01-01-2024,00:00,07-01-2024,23:59,0.15
Ardahan,01-01-2024,00:00,07-01-2024,23:59,0.1
Iğdır,01-01-2024,00:00,07-01-2024,23:59,0.18
Yalova,01-01-2024,00:00,07-01-2024,23:59,0.25
Karabük,01-01-2024,00:00,07-01-2024,23:59,0.12
Kilis,01-01-2024,00:00,07-01-2024,23:59,0.16
Osmaniye,01-01-2024,00:00,07-01-2024,23:59,0.2
Düzce,01-01-2024,00:00,07-01-2024,23:59,0.16
Adana,08-01-2024,00:00,14-01-2024,23:59,0.23
Adıyaman,08-01-2024,00:00,14-01-2024,23:59,0.15
Afyonkarahisar,08-01-2024,00:00,14-01-2024,23:59,0.15
Ağrı,08-01-2024,00:00,14-01-2024,23:59,0.13
Amasya,08-01-2024,00:00,14-01-2024,23:59,0.12
Ankara,08-01-2024,00:00,14-01-2024,23:59,0.22
Antalya,08-01-2024,00:00,14-01-2024,23:59,0.2
Artvin,08-01-2024,00:00,14-01-2024,23:59,0.19
Aydın,08-01-2024,00:00,14-01-2024,23:59,0.24
Balıkesir,08-01-2024,00:00,14-01-2024,23:59,0.15
Bilecik,08-01-2024,00:00,14-01-2024,23:59,0.15
Bingöl,08-01-2024,00:00,14-01-2024,23:59,0.12
Bitlis,08-01-2024,00:00,14-01-2024,23:59,0.19
Bolu,08-01-2024,00:00,14-01-2024,23:59,0.18
Burdur,08-01-2024,00:00,14-01-2024,23:59,0.11
Bursa,08-01-2024,00:00,14-01-2024,23:59,0.33
Çanakkale,08-01-2024,00:00,14-01-2024,23:59,0.15
Çankırı,08-01-2024,00:00,14-01-2024,23:59,0.11
Çorum,08-01-2024,00:00,14-01-2024,23:59,0.12
Denizli,08-01-2024,00:00,14-01-2024,23:59,0.22
Diyarbakır,08-01-2024,00:00,14-01-2024,23:59,0.16
Edirne,08-01-2024,00:00,14-01-2024,23:59,0.18
Elazığ,08-01-2024,00:00,14-01-2024,23:59,0.14
Erzincan,08-01-2024,00:00,14-01-2024,23:59,0.14
Erzurum,08-01-2024,00:00,14-01-2024,23:59,0.16
Eskişehir,08-01-2024,00:00,14-01-2024,23:59,0.18
Gaziantep,08-01-2024,00:00,14-01-2024,23:59,0.2
Giresun,08-01-2024,00:00,14-01-2024,23:59,0.17
Gümüşhane,08-01-2024,00:00,14-01-2024,23:59,0.1
Hakkari,08-01-2024,00:00,14-01-2024,23:59,0.14
Hatay,08-01-2024,00:00,14-01-2024,23:59,0.24
Isparta,08-01-2024,00:00,14-01-2024,23:59,0.17
Mersin,08-01-2024,00:00,14-01-2024,23:59,0.24
İstanbul,08-01-2024,00:00,14-01-2024,23:59,0.41
İzmir,08-01-2024,00:00,14-01-2024,23:59,0.32
Kars,08-01-2024,00:00,14-01-2024,23:59,0.12
Kastamonu,08-01-2024,00:00,14-01-2024,23:59,0.11
Kayseri,08-01-2024,00:00,14-01-2024,23:59,0.16
Kırklareli,08-01-2024,00:00,14-01-2024,23:59,0.11
Kırşehir,08-01-2024,00:00,14-01-2024,23:59,0.12
Kocaeli,08-01-2024,00:00,14-01-2024,23:59,0.25
Konya,08-01-2024,00:00,14-01-2024,23:59,0.14
Kütahya,08-01-2024,00:00,14-01-2024,23:59,0.11
Malatya,08-01-2024,00:00,14-01-2024,23:59,0.16
Manisa,08-01-2024,00:00,14-01-2024,23:59,0.22
Kahramanmaraş,08-01-2024,00:00,14-01-2024,23:59,0.17
Mardin,08-01-2024,00:00,14-01-2024,23:59,0.18
Muğla,08-01-2024,00:00,14-01-2024,23:59,0.15
Muş,08-01-2024,00:00,14-01-2024,23:59,0.16
Nevşehir,08-01-2024,00:00,14-01-2024,23:59,0.15
Niğde,08-01-2024,00:00,14-01-2024,23:59,0.12
Ordu,08-01-2024,00:00,14-01-2024,23:59,0.23
Rize,08-01-2024,00:00,14-01-2024,23:59,0.14
Sakarya,08-01-2024,00:00,14-01-2024,23:59,0.2
Samsun,08-01-2024,00:00,14-01-2024,23:59,0.26
Siirt,08-01-2024,00:00,14-01-2024,23:59,0.2
Sinop,08-01-2024,00:00,14-01-2024,23:59,0.14
Sivas,08-01-2024,00:00,14-01-2024,23:59,0.12
Tekirdağ,08-01-2024,00:00,14-01-2024,23:59,0.15
Tokat,08-01-2024,00:00,14-01-2024,23:59,0.13
Trabzon,08-01-2024,00:00,14-01-2024,23:59,0.19
Tunceli,08-01-2024,00:00,14-01-2024,23:59,0.16
Şanlıurfa,08-01-2024,00:00,14-01-2024,23:59,0.16
Uşak,08-01-2024,00:00,14-01-2024,23:59,0.16
Van,08-01-2024,00:00,14-01-2024,23:59,0.19
Yozgat,08-01-2024,00:00,14-01-2024,23:59,0.07
Zonguldak,08-01-2024,00:00,14-01-2024,23:59,0.2
Aksaray,08-01-2024,00:00,14-01-2024,23:59,0.12
Bayburt,08-01-2024,00:00,14-01-2024,23:59,0.07
Karaman,08-01-2024,00:00,14-01-2024,23:59,0.11
Kırıkkale,08-01-2024,00:00,14-01-2024,23:59,0.2
Batman,08-01-2024,00:00,14-01-2024,23:59,0.19
Şırnak,08-01-2024,00:00,14-01-2024,23:59,0.17
Bartın,08-01-2024,00:00,14-01-2024,23:59,0.16
Ardahan,08-01-2024,00:00,14-01-2024,23:59,0.12
Iğdır,08-01-2024,00:00,14-01-2024,23:59,0.18
Yalova,08-01-2024,00:00,14-01-2024,23:59,0.25
Karabük,08-01-2024,00:00,14-01-2024,23:59,0.12
Kilis,08-01-2024,00:00,14-01-2024,23:59,0.16
Osmaniye,08-01-2024,00:00,14-01-2024,23:59,0.2
Düzce,08-01-2024,00:00,14-01-2024,23:59,0.17
Adana,15-01-2024,00:00,21-01-2024,23:59,0.23
Adıyaman,15-01-2024,00:00,21-01-2024,23:59,0.16
Afyonkarahisar,15-01-2024,00:00,21-01-2024,23:59,0.16
Ağrı,15-01-2024,00:00,21-01-2024,23:59,0.12
Amasya,15-01-2024,00:00,21-01-2024,23:59,0.13
Ankara,15-01-2024,00:00,21-01-2024,23:59,0.23
Antalya,15-01-2024,00:00,21-01-2024,23:59,0.2
Artvin,15-01-2024,00:00,21-01-2024,23:59,0.19
Aydın,15-01-2024,00:00,21-01-2024,23:59,0.24
Balıkesir,15-01-2024,00:00,21-01-2024,23:59,0.15
Bilecik,15-01-2024,00:00,21-01-2024,23:59,0.14
Bingöl,15-01-2024,00:00,21-01-2024,23:59,0.12
Bitlis,15-01-2024,00:00,21-01-2024,23:59,0.16
Bolu,15-01-2024,00:00,21-01-2024,23:59,0.17
